受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
リブ部分、ブルー
リブ部分,しまむら,合格,合格,,
61526008769,2026-04-28,2026-04-30,??浅叶有限公司,岡山,,高木,1T6589A ,,63サックス,しまむら,合格,,,
Q2726005441,2026-04-28,2026-04-30,青&#23707;紫?国&#38469;&#36152;易有限公司,ライフグッズ,,ライフグッズ,1T6548A ,エコバッグ,N9ブラック本体、N9ブラック製品,しまむら,合格,合格,,
Q2726005857,2026-04-28,2026-04-30,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,94622QR/94623QR/94624QR ,生地,N0、N9,しまむら,合格,,,
Q2726005440,2026-04-28,2026-05-06,青&#23707;紫?国&#38469;&#36152;易有限公司,ライフグッズ,,ライフグッズ,1T622ER ,バックパック,N0本体、N0製品,しまむら,合格,合格,,
Q2726005862,2026-04-28,2026-04-30,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,Z5630UR ,刺繍,ピンク×緑×黄,しまむら,合格,,,
Q2726005442,2026-04-28,2026-05-06,青&#23707;紫?国&#38469;&#36152;易有限公司,ライフグッズ,,ライフグッズ,1T614DA ,エコバッグ,83製品、紫総柄&#9312;、紫総柄&#9313;、黄無地、黒バインダー、グレー総柄&#9312;、グレー総柄&#9313;,しまむら,合格,合格,,
Q2726005444,2026-04-28,2026-05-06,青&#23707;紫?国&#38469;&#36152;易有限公司,ライフグッズ,,ライフグッズ,1T613DA ,エコバッグ,65製品、紫無地、紺無地、紺総柄、サックス無地、サックス総柄&#9312;、サックス総柄&#9313;、ブルー総柄,しまむら,合格,合格,,
Q2726005742,2026-04-28,2026-04-30,?&#23425;威登服&#39280;,レディ－スカジュアル,,レディ-スカジュアル,Y5639MR ,生地,35身生地、35リブ,しまむら,合格,,,
61526008604,2026-04-27,2026-04-29,江&#33487;舜天盛泰工&#36152;有限公司,岡山,,隆三,1C6B18R ,デニムキャップ,65ブルー、ブルー裏テープ,しまむら,合格,合格,,
61026008958,2026-04-27,2026-04-29,祥安服装如&#19996;有限公司,岡山,,平松,K26282R ,CLハンモック小紋,67ネイビー、67ネイビー本体、67ネイビーサポーター,しまむら,合格,合格,,
Q2726005787,2026-04-27,2026-04-29,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9K620DR ,ハーフトップ,14製品、63製品、N9製品、黒カップ、黒ゴム、黒バインダー、クリーム
バインダー、サックス
バインダー、サックスゴム、ピンクゴム、ベージュ
カップ、ベージュ
バインダー,しまむら,合格,合格,,
Q2726005877,2026-04-27,2026-04-30,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A5639ZR ,エレッセメッシュ半袖T,N9ブラック本体、N9ブラック製品,しまむら,合格,合格,,
61526008457,2026-04-27,2026-04-28,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5631MR  ,丸首半袖T,N9ブラック、N9ブラック本体、N9ブラックリブ、ワッペン,しまむら,合格,合格,,
61526008616,2026-04-27,2026-04-29,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,G563GUR ,,製品,しまむら,,合格,,
