"品番","納入先","合格色","不合格色","工場名","発行番号","生地合否判定","合否判定","受付日","製品合否判定","部署","共有メモ","共有チェック"
"EM630UR/EM631QZ","㈱しまむら","5","","","DL-26-009347","合格","合格","2026/04/14","","","","0"
"Y463VMA/Y463WMA/Y4630EA/Y4631EA/Y4631ZA/Y4632ZA/Y4633ZA","㈱しまむら","3","","","DL-26-009353-1","合格","合格","2026/04/14","","","","0"
"C563LMA","㈱しまむら","1","","","DL-26-009090","合格","合格","2026/04/13","合格〈コメント有〉","","","0"
"41650HA","㈱しまむら","3","","","DL-26-009092","合格","合格","2026/04/13","","","","0"
"C5530VA","㈱しまむら","1","","","DL-26-009095","合格","合格","2026/04/13","合格(追試:合格)","","","0"
"C5531VA","㈱しまむら","1","","","DL-26-009108","合格","合格","2026/04/13","合格(追試:合格)","","","0"
"C4630VA","㈱しまむら","1","","","DL-26-009113","合格","合格","2026/04/13","合格(追試:合格)〈コメント有〉","","","0"
"Z4630QR","㈱しまむら","1","","","DL-26-009115","合格","合格","2026/04/13","合格(追試:合格)","","","0"
"ER630LR","㈱しまむら","","","","DL-26-009117","","合格","2026/04/13","合格","","","0"
"40635LR","㈱しまむら","","","","DL-26-009121","","合格","2026/04/13","合格(追試:合格)","","","0"
"ER633YR","㈱しまむら","","","","DL-26-009128","","合格","2026/04/13","合格","","","0"
"A563ERR","㈱しまむら","2","","","DL-26-009132","合格","合格","2026/04/13","合格(追試:合格)","","","0"
"456521R","㈱しまむら","","","","DL-26-009134","","合格","2026/04/13","合格(追試:合格)","","","0"
"ER632YR","㈱しまむら","","","","DL-26-009137","","合格","2026/04/13","合格","","","0"
"456511R","㈱しまむら","","","","DL-26-009140","","合格","2026/04/13","合格(追試:合格)","","","0"
"416468R","㈱しまむら","2","","","DL-26-009159","合格","合格","2026/04/13","合格(追試:合格)","","","0"
"E1630UR","㈱しまむら","3","","","DL-26-009293","合格","合格","2026/04/14","合格(追試:合格)","","","0"
"E1631UR","㈱しまむら","1","","","DL-26-009295","合格","合格","2026/04/14","合格(追試:合格)","","","0"
"E4633UR","㈱しまむら","1","","","DL-26-009297","合格","合格","2026/04/14","合格(追試:合格)","","","0"
"E4632UR","㈱しまむら","3","","","DL-26-009302","合格","合格","2026/04/14","合格(追試:合格)","","","0"
"C4637MA","㈱しまむら","1","","","DL-26-009345","合格","合格","2026/04/14","合格(追試:合格)〈コメント有〉","","","0"
"42630HR","㈱しまむら","1","","","DL-26-008439","合格","合格","2026/04/03","合格(追試:合格)","","","0"
"42630GR","㈱しまむら","1","","","DL-26-008441","合格","合格","2026/04/03","合格(追試:合格)","","","0"
"EM632YR","㈱しまむら","3","","","DL-26-008934","合格","合格","2026/04/10","合格","","","0"
"A563DZR","㈱しまむら","2","","","DL-26-008940","合格","合格","2026/04/10","合格(追試:合格)","","","0"
"A563FZR","㈱しまむら","","","","DL-26-008947","","合格","2026/04/10","合格(追試:合格)","","","0"
"A563EZR","㈱しまむら","","","","DL-26-008956","","合格","2026/04/10","合格(追試:合格)","","","0"
"A563GZR","㈱しまむら","2","","","DL-26-008963","合格","合格","2026/04/10","合格(追試:合格)","","","0"
"456501R","㈱しまむら","","","","DL-26-008972","","合格","2026/04/10","合格(追試:合格)","","","0"
"EM633YR","㈱しまむら","3","","","DL-26-008975","合格","合格","2026/04/10","合格","","","0"
"416478R","㈱しまむら","2","","","DL-26-008979","合格","合格","2026/04/10","合格(追試:合格)","","","0"
"4263AHR","㈱しまむら","1","","","DL-26-008981","合格","合格","2026/04/10","合格(追試:合格)","","","0"
"40658PH/40651HH","㈱しまむら","2","","","DL-26-009027","合格","合格","2026/04/13","","","","0"
"30630LR","㈱しまむら","1","","","DL-26-009060","合格","合格","2026/04/13","","","","0"
"40633LR","㈱しまむら","","","","DL-26-009161","","合格","2026/04/13","合格(追試:合格)","","","0"
"40634LR","㈱しまむら","","","","DL-26-009163","","合格","2026/04/13","合格(追試:合格)","","","0"
"C9630ZR","㈱しまむら","2","","","DL-26-009217","合格","合格","2026/04/13","","","","0"
"40630LR/40633LR/40634LR/40635LR","㈱しまむら","6","","","DL-26-009239","合格","合格","2026/04/13","","","","0"
"X4631QR","㈱しまむら","1","","","DL-26-008835","合格","合格","2026/04/09","","","","0"
"C563MMA/C563NMA/C5630DA/C5630HA","㈱しまむら","3","","","DL-26-008838","合格","合格","2026/04/09","","","","0"
"A563MER","㈱しまむら","2","","","DL-26-008839","合格","合格","2026/04/09","合格(追試:合格)","","","0"
"E1630UR E1631UR E4632UR E4633UR","㈱しまむら","3","","","DL-26-008843","合格","合格","2026/04/09","","","","0"
"A563FRR","㈱しまむら","2","","","DL-26-008849","合格","合格","2026/04/09","合格(追試:合格)","","","0"
"A563NER","㈱しまむら","2","","","DL-26-008858","合格","合格","2026/04/09","合格(追試:合格)","","","0"
"C563KMA","㈱しまむら","1","","","DL-26-008870","合格","合格","2026/04/09","合格〈コメント有〉","","","0"
"C9630ZR","㈱しまむら","2","","","DL-26-008881-1","合格","合格","2026/04/09","","","","0"
"FR0002F/ACY11957","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-008890","合格","合格","2026/04/09","合格(追試:合格)〈コメント有〉","","","0"
